id_participant,id_block,id_trial,id_scene,id_orientation,rt,hit,x_pos_unmirr,x_pos_mirr,y_pos,age,handedness,gender,date,rt_scaled,is_outlier
1,1,1,Kitchen_9,original,NA,0,-0.34284907618120436,-0.34284907618120436,0.12856132266248282,25,left,female,2022-09-20T11:43:00Z,NA,0
1,1,2,Kitchen_1,mirrored,12.734434833997511,1,-0.07911162306018871,-0.07911162306018871,0.381261159231004,25,left,female,2022-09-20T11:43:00Z,2.4933879452443697,0
1,1,3,Kitchen_7,original,2.2758833749976475,1,-0.530392405469754,-0.530392405469754,-0.00558763794683142,25,left,female,2022-09-20T11:43:00Z,-0.5059235354861974,0
1,1,4,Office_7,original,2.674419374998251,1,0.1932854545157715,0.1932854545157715,0.3518143553852064,25,left,female,2022-09-20T11:43:00Z,-0.39163107300013955,0
1,1,5,Office_9,new,1.653290417001699,1,-0.39274710033934074,-0.39274710033934074,0.3213250167784343,25,left,female,2022-09-20T11:43:00Z,-0.6844712257719632,0
1,1,6,Bedroom_10,original,11.008211542000936,1,0.6511467305271116,0.6511467305271116,0.23490015535123152,25,left,female,2022-09-20T11:43:00Z,1.9983402937328896,0
1,1,7,Bedroom_4,original,2.2052855829970213,1,-0.41652119333329696,-0.41652119333329696,0.33606648403159106,25,left,female,2022-09-20T11:43:00Z,-0.526169624908026,0
1,1,8,Office_10,original,2.9575794160045916,1,-0.26041216427081587,-0.26041216427081587,-0.08261603429343506,25,left,female,2022-09-20T11:43:00Z,-0.31042621731779524,0
1,1,9,Kitchen_8,original,2.0337602500003413,1,-0.6667260295518891,-0.6667260295518891,0.15614928596852656,25,left,female,2022-09-20T11:43:00Z,-0.5753597926391768,0
1,1,10,Office_6,mirrored,1.9174891249931536,1,-0.2691876774591183,-0.2691876774591183,0.31351773948842676,25,left,female,2022-09-20T11:43:00Z,-0.6087041158447984,0
1,1,11,Bathroom_10,mirrored,3.924721208997653,1,0.6809963807213593,0.6809963807213593,-0.09948211268155176,25,left,female,2022-09-20T11:43:00Z,-0.03306854550347795,0
1,1,12,Kitchen_6,mirrored,7.535901582996303,1,0.01637203980327373,0.01637203980327373,-0.1878791861165361,25,left,female,2022-09-20T11:43:00Z,1.0025485566529244,0
1,1,13,Bathroom_5,new,8.042317374995037,1,-0.11101980988674189,-0.11101980988674189,-0.33930107841724266,25,left,female,2022-09-20T11:43:00Z,1.1477788693706585,0
1,1,14,Bedroom_8,new,1.449556459003361,1,0.1978660154130535,0.1978660154130535,0.3559662656254816,25,left,female,2022-09-20T11:43:00Z,-0.7428982079056371,0
1,1,15,Office_2,new,NA,0,0.4981708450088115,0.4981708450088115,0.1726871618308523,25,left,female,2022-09-20T11:43:00Z,NA,0
1,1,16,Office_5,new,1.9435350420026225,1,0.08299743156605288,0.08299743156605288,0.3913677136030615,25,left,female,2022-09-20T11:43:00Z,-0.6012346476092684,0
1,1,17,Bathroom_4,mirrored,NA,0,0.5263061059737076,0.5263061059737076,0.02823928365510425,25,left,female,2022-09-20T11:43:00Z,NA,0
1,1,18,Bedroom_2,original,2.479393875000824,1,-0.535673084741427,-0.535673084741427,-0.30187840411184186,25,left,female,2022-09-20T11:43:00Z,-0.44756063680929814,0
1,1,19,Office_8,new,NA,0,0.2203003995549198,0.2203003995549198,0.02367960206222918,25,left,female,2022-09-20T11:43:00Z,NA,0
1,1,20,Bathroom_9,mirrored,2.361875083995983,1,0.612035030360069,0.612035030360069,0.1876190606987904,25,left,female,2022-09-20T11:43:00Z,-0.4812627666352294,0
1,1,21,Kitchen_10,original,10.519627916997706,1,-0.2299318114426077,-0.2299318114426077,0.17159995448795318,25,left,female,2022-09-20T11:43:00Z,1.8582239036654948,0
1,1,22,Bathroom_1,mirrored,1.3760656250015018,1,0.06143711587072054,0.06143711587072054,0.1872531609480714,25,left,female,2022-09-20T11:43:00Z,-0.7639739661513512,0
1,1,23,Bathroom_2,new,NA,0,0.16371814400254492,0.16371814400254492,0.3124951827897114,25,left,female,2022-09-20T11:43:00Z,NA,0
1,1,24,Kitchen_3,mirrored,2.3572703750032815,1,-0.5236674178334837,-0.5236674178334837,0.3416531971140406,25,left,female,2022-09-20T11:43:00Z,-0.4825833086434965,0
1,1,25,Kitchen_5,new,1.476802167002461,1,-0.5004721122704672,-0.5004721122704672,-0.2195360879647481,25,left,female,2022-09-20T11:43:00Z,-0.7350846626816461,0
1,1,26,Bedroom_3,mirrored,2.489372624993848,1,-0.6821160116905415,-0.6821160116905415,-0.1402605476100116,25,left,female,2022-09-20T11:43:00Z,-0.44469892316427306,0
1,1,27,Bathroom_6,new,NA,0,-0.5690384074393449,-0.5690384074393449,0.04238443700990246,25,left,female,2022-09-20T11:43:00Z,NA,0
1,1,28,Bedroom_1,mirrored,1.541473292003502,1,-0.6394282475475966,-0.6394282475475966,-0.06132193211675541,25,left,female,2022-09-20T11:43:00Z,-0.7165382274082919,0
1,1,29,Kitchen_2,new,1.9863575839990515,1,-0.5992865041667904,-0.5992865041667904,0.12974781993095957,25,left,female,2022-09-20T11:43:00Z,-0.5889539658774371,0
1,1,30,Bedroom_6,original,8.016112707999127,1,0.14132913156596205,0.14132913156596205,-0.10532028042107083,25,left,female,2022-09-20T11:43:00Z,1.1402638746911689,0
2,1,1,Bathroom_3,mirrored,5.924387790997571,1,0.6902131574918087,0.6902131574918087,-0.0161488107514226,30,right,male,2022-09-20T12:15:00Z,0.5224393164261958,0
