BlockNumber,TrialType,FileName,Xcoord,Ycoord,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,TrialLoop.thisRepN,TrialLoop.thisTrialN,TrialLoop.thisN,TrialLoop.thisIndex,key_resp_cross.keys,key_resp_cross.rt,text_cross_space.started,text_cross_space.stopped,id_participant,age,handedness,gender,Xpos,Ypos,ClickInTime,find_target.x,find_target.y,find_target.leftButton,find_target.midButton,find_target.rightButton,find_target.time,find_target.clicked_name,participant,age,handedness,gender,date,expName,psychopyVersion,frameRate,
1,new,Bathroom_1,0.10256140471453323,-0.24720276049608014,0,0,0,0,0,0,0,19,space,1.447603833003086,31.370228916006454,None,7,26,right,female,0.10256140471453323,-0.24720276049608014,1,0.10444444444444445,-0.23333333333333334,1,0,0,13.368807541999558,stimulus,7,26,right,female,2022_Sep_20_1300,exp_builder_script,2021.2.3,59.79764465065765,
1,original,Office_6,-0.34907962636529205,0.07199084202902056,0,0,0,0,0,1,1,21,space,0.7405379159972654,46.70203145800042,None,7,26,right,female,-0.34907962636529205,0.07199084202902056,0,,,,,,,,7,26,right,female,2022_Sep_20_1300,exp_builder_script,2021.2.3,59.79764465065765,
1,original,Kitchen_5,-0.5613781086741942,0.23148197928630007,0,0,0,0,0,2,2,24,space,0.736480332998326,62.485114208000596,None,7,26,right,female,-0.5613781086741942,0.23148197928630007,1,-0.5633333333333334,0.24222222222222223,1,0,0,1.5379232080013026,stimulus,7,26,right,female,2022_Sep_20_1300,exp_builder_script,2021.2.3,59.79764465065765,
1,mirrored,Office_3,-0.4246744697700341,0.054532679322410016,0,0,0,0,0,3,3,0,space,0.3792951659997925,65.20137479100231,None,7,26,right,female,-0.4246744697700341,0.054532679322410016,1,-0.42,0.05444444444444444,1,0,0,1.5166333749948535,stimulus,7,26,right,female,2022_Sep_20_1300,exp_builder_script,2021.2.3,59.79764465065765,
1,original,Bathroom_8,-0.513199449557506,-0.07117840696745303,0,0,0,0,0,4,4,27,space,0.4119705410048482,67.53552941600356,None,7,26,right,female,-0.513199449557506,-0.07117840696745303,1,-0.5066666666666667,-0.06333333333333334,1,0,0,2.2237762499935343,stimulus,7,26,right,female,2022_Sep_20_1300,exp_builder_script,2021.2.3,59.79764465065765,
1,mirrored,Kitchen_2,-0.14566599394437585,-0.02761281069907623,0,0,0,0,0,5,5,5,space,0.4782738750000135,70.60238858299999,None,7,26,right,female,-0.14566599394437585,-0.02761281069907623,1,-0.14444444444444443,-0.023333333333333334,1,0,0,1.225997917004861,stimulus,7,26,right,female,2022_Sep_20_1300,exp_builder_script,2021.2.3,59.79764465065765,
1,original,Office_4,0.6852200142028025,0.1311974628465819,0,0,0,0,0,6,6,26,space,0.5015590410039295,72.75277791600092,None,7,26,right,female,0.6852200142028025,0.1311974628465819,1,0.6833333333333333,0.13333333333333333,1,0,0,2.035416124999756,stimulus,7,26,right,female,2022_Sep_20_1300,exp_builder_script,2021.2.3,59.79764465065765,
1,mirrored,Kitchen_6,0.12458258375211329,0.23325464875936702,0,0,0,0,0,7,7,1,space,0.5836189159963396,75.71770541600563,None,7,26,right,female,0.12458258375211329,0.23325464875936702,1,0.12444444444444444,0.24444444444444444,1,0,0,4.7324283749985625,stimulus,7,26,right,female,2022_Sep_20_1300,exp_builder_script,2021.2.3,59.79764465065765,
1,mirrored,Kitchen_8,0.4217340301222011,0.2049672344730624,0,0,0,0,0,8,8,3,space,0.6254056239995407,81.46922554100456,None,7,26,right,female,0.4217340301222011,0.2049672344730624,1,0.41444444444444445,0.1988888888888889,1,0,0,1.1661563750021742,stimulus,7,26,right,female,2022_Sep_20_1300,exp_builder_script,2021.2.3,59.79764465065765,
1,original,Bedroom_1,-0.046411391481020914,0.08562192916463013,0,0,0,0,0,9,9,22,space,0.6088154160024715,83.68584050000209,None,7,26,right,female,-0.046411391481020914,0.08562192916463013,1,-0.05444444444444444,0.08555555555555555,1,0,0,13.622591958002886,stimulus,7,26,right,female,2022_Sep_20_1300,exp_builder_script,2021.2.3,59.79764465065765,
