BlockNumber,TrialType,FileName,Xcoord,Ycoord,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,TrialLoop.thisRepN,TrialLoop.thisTrialN,TrialLoop.thisN,TrialLoop.thisIndex,key_resp_cross.keys,key_resp_cross.rt,text_cross_space.started,text_cross_space.stopped,id_participant,age,handedness,gender,Xpos,Ypos,ClickInTime,find_target.x,find_target.y,find_target.leftButton,find_target.midButton,find_target.rightButton,find_target.time,find_target.clicked_name,participant,age,handedness,gender,date,expName,psychopyVersion,frameRate,
1,new,Office_10,-0.6201530724550375,0.36877526081705664,0,0,0,0,0,0,0,16,space,2.0515494580031373,103.83480099999724,None,6,24,right,female,-0.6201530724550375,0.36877526081705664,1,-0.6144444444444445,0.39555555555555555,1,0,0,5.566442041999835,stimulus,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,mirrored,Bathroom_1,-0.2712528936984976,0.09995644216191013,0,0,0,0,0,1,1,1,space,1.4818917080046958,112.69947770799627,None,6,24,right,female,-0.2712528936984976,0.09995644216191013,1,-0.2733333333333333,0.07777777777777778,1,0,0,6.132163415997638,stimulus,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,new,Bedroom_7,-0.0336194793231166,0.20150953601064178,0,0,0,0,0,2,2,11,space,1.061050583004544,121.26549399999931,None,6,24,right,female,-0.0336194793231166,0.20150953601064178,1,-0.034444444444444444,0.2111111111111111,1,0,0,1.2968542499947944,stimulus,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,mirrored,Bedroom_9,-0.38634639342817173,-0.226297673931959,0,0,0,0,0,3,3,6,space,0.8817583740019472,124.09948479199375,None,6,24,right,female,-0.38634639342817173,-0.226297673931959,0,,,,,,,,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,new,Office_9,-0.2070647337788884,0.09567320712320349,0,0,0,0,0,4,4,15,space,1.574129249995167,140.01616104199638,None,6,24,right,female,-0.2070647337788884,0.09567320712320349,0,,,,,,,,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,new,Bathroom_2,0.6938366697540879,0.06343543575313154,0,0,0,0,0,5,5,18,space,1.0592706239986,156.63322862499626,None,6,24,right,female,0.6938366697540879,0.06343543575313154,1,0.6888888888888889,0.06333333333333334,1,0,0,1.8705132920003962,stimulus,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,new,Kitchen_8,-0.2741408359687662,0.20663689175228606,0,0,0,0,0,6,6,13,space,1.1137810410000384,159.98342045799654,None,6,24,right,female,-0.2741408359687662,0.20663689175228606,0,,,,,,,,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,original,Bathroom_8,0.04162649391899598,0.047214485517162674,0,0,0,0,0,7,7,24,space,0.8244051660003606,176.13465812499635,None,6,24,right,female,0.04162649391899598,0.047214485517162674,1,0.05,0.04888888888888889,1,0,0,1.2298948750030831,stimulus,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,mirrored,Bedroom_5,-0.03125538000916395,0.2579885706056585,0,0,0,0,0,8,8,0,space,0.7833847080037231,178.63362979199883,None,6,24,right,female,-0.03125538000916395,0.2579885706056585,1,-0.03888888888888889,0.26222222222222225,1,0,0,1.9347791249965667,stimulus,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,new,Kitchen_5,-0.5874243541882318,-0.37383755821029974,0,0,0,0,0,9,9,19,space,0.6332631660043262,181.78371604199492,None,6,24,right,female,-0.5874243541882318,-0.37383755821029974,1,-0.5922222222222222,-0.35777777777777775,1,0,0,3.55756191600085,stimulus,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,new,Bathroom_6,-0.6214644088293133,0.13868652433852796,0,0,0,0,0,10,10,14,space,0.5459934160026023,186.40201974999945,None,6,24,right,female,-0.6214644088293133,0.13868652433852796,1,-0.5555555555555556,-0.035555555555555556,1,0,0,3.416555750001862,stimulus,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,original,Bedroom_10,0.4995419480490231,0.37856546981877603,0,0,0,0,0,11,11,25,space,0.6861421249996056,192.3347986669978,None,6,24,right,female,0.4995419480490231,0.37856546981877603,1,0.5044444444444445,0.38555555555555554,1,0,0,3.217202666994126,stimulus,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,mirrored,Kitchen_10,0.20518403000034058,0.29425622314744865,0,0,0,0,0,12,12,2,space,0.5638961250006105,196.70105483299994,None,6,24,right,female,0.20518403000034058,0.29425622314744865,1,0.20444444444444446,0.3011111111111111,1,0,0,1.9060711659985827,stimulus,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,original,Office_4,0.6850373820930116,-0.1719060355612083,0,0,0,0,0,13,13,29,space,0.6698427910014288,199.60196216699842,None,6,24,right,female,0.6850373820930116,-0.1719060355612083,1,0.6833333333333333,-0.16555555555555557,1,0,0,2.0362086660024943,stimulus,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,mirrored,Bathroom_5,0.29620691179910136,0.13429758410898313,0,0,0,0,0,14,14,3,space,0.5592266660023597,202.73477104199992,None,6,24,right,female,0.29620691179910136,0.13429758410898313,1,0.2877777777777778,0.13444444444444445,1,0,0,1.5471770000003744,stimulus,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,new,Bedroom_6,-0.025061489762879363,0.04699760649695783,0,0,0,0,0,15,15,12,space,0.5599882499955129,205.28507395799534,None,6,24,right,female,-0.025061489762879363,0.04699760649695783,1,-0.03111111111111111,0.05555555555555555,1,0,0,1.1335201249967213,stimulus,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,original,Bedroom_2,0.4352882986763635,-0.27703002437030855,0,0,0,0,0,16,16,28,space,0.40534179100359324,207.40058562499325,None,6,24,right,female,0.4352882986763635,-0.27703002437030855,1,0.43333333333333335,-0.2777777777777778,1,0,0,1.5902332080004271,stimulus,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,original,Office_3,-0.022673842441677472,-0.06111130341743387,0,0,0,0,0,17,17,27,space,0.4350294159958139,209.81871220799803,None,6,24,right,female,-0.022673842441677472,-0.06111130341743387,1,-0.035555555555555556,-0.051111111111111114,1,0,0,1.0316504590009572,stimulus,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,original,Kitchen_4,0.5673330487011146,0.301086541445737,0,0,0,0,0,18,18,22,space,0.4787278750009136,211.71817787499458,None,6,24,right,female,0.5673330487011146,0.301086541445737,0,,,,,,,,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,new,Office_6,-0.5640910079489676,0.3387283599738482,0,0,0,0,0,19,19,10,space,0.798290333004843,227.2343003329952,None,6,24,right,female,-0.5640910079489676,0.3387283599738482,1,-0.5655555555555556,0.34,1,0,0,7.939235375000862,stimulus,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,mirrored,Office_8,0.24126267162465748,-0.31872284973872345,0,0,0,0,0,20,20,9,space,0.5826409159999457,236.40184620799846,None,6,24,right,female,0.24126267162465748,-0.31872284973872345,1,0.2511111111111111,-0.3188888888888889,1,0,0,2.5806233749972307,stimulus,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,mirrored,Office_1,0.5177659279830303,-0.17653352653346222,0,0,0,0,0,21,21,8,space,0.4765048330009449,240.0023274579944,None,6,24,right,female,0.5177659279830303,-0.17653352653346222,1,0.5133333333333333,-0.16666666666666666,1,0,0,1.8110664580017328,stimulus,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
1,original,Bathroom_7,0.5566478052294882,0.3388502491269874,0,0,0,0,0,22,22,21,space,0.4294384159948095,242.71824249999918,None,6,24,right,female,0.5566478052294882,0.3388502491269874,1,0.5477777777777778,0.32555555555555554,1,0,0,1.7597030839970103,stimulus,6,24,right,female,2022_Sep_20_1253,exp_builder_script,2021.2.3,60.025795966037045,
