BlockNumber,TrialType,FileName,Xcoord,Ycoord,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,TrialLoop.thisRepN,TrialLoop.thisTrialN,TrialLoop.thisN,TrialLoop.thisIndex,key_resp_cross.keys,key_resp_cross.rt,text_cross_space.started,text_cross_space.stopped,id_participant,age,handedness,gender,Xpos,Ypos,ClickInTime,find_target.x,find_target.y,find_target.leftButton,find_target.midButton,find_target.rightButton,find_target.time,find_target.clicked_name,participant,age,handedness,gender,date,expName,psychopyVersion,frameRate,
1,mirrored,Bathroom_3,0.6902131574918087,-0.016148810751422604,0,0,0,0,0,0,0,8,space,2.4684698739947635,36.19987199999741,None,2,30,right,male,0.6902131574918087,-0.016148810751422604,1,0.6855555555555556,-0.0077777777777777776,1,0,0,5.924387790997571,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,new,Bathroom_4,-0.6781134469053953,-0.3035409383084682,0,0,0,0,0,1,1,12,space,2.750979374999588,45.17835329099762,None,2,30,right,male,-0.6781134469053953,-0.3035409383084682,1,-0.6766666666666666,-0.29555555555555557,1,0,0,9.520950792000804,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,mirrored,Bathroom_5,-0.6380572275326534,0.3658732872045367,0,0,0,0,0,2,2,3,space,2.3115996660053497,57.929431083000964,None,2,30,right,male,-0.6380572275326534,0.3658732872045367,0,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,original,Bedroom_10,-0.19595916913992273,0.015254393557601609,0,0,0,0,0,3,3,20,space,3.203807790996507,75.2796637499996,None,2,30,right,male,-0.19595916913992273,0.015254393557601609,1,-0.18777777777777777,0.016666666666666666,1,0,0,1.8485935410062666,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,original,Office_7,-0.5290202343245594,0.3679560584483372,0,0,0,0,0,4,4,21,space,1.9141801239966298,80.81232087499666,None,2,30,right,male,-0.5290202343245594,0.3679560584483372,1,-0.5288888888888889,0.37222222222222223,1,0,0,2.6143805000028806,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,original,Kitchen_2,-0.35779162698232614,-0.25299261780930415,0,0,0,0,0,5,5,26,space,1.191717998997774,85.79689874999895,None,2,30,right,male,-0.35779162698232614,-0.25299261780930415,1,-0.35555555555555557,-0.25,1,0,0,3.442727624998952,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,new,Office_4,0.2178326944738077,-0.24439409616448893,0,0,0,0,0,6,6,18,space,1.0061212910004542,90.88026541600266,None,2,30,right,male,0.2178326944738077,-0.24439409616448893,1,0.22,-0.24666666666666667,1,0,0,5.178053000003274,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,original,Bedroom_9,0.27082633802435085,0.31115801474273225,0,0,0,0,0,7,7,25,space,0.9210942909994628,97.49737120800273,None,2,30,right,male,0.27082633802435085,0.31115801474273225,1,0.2611111111111111,0.31222222222222223,1,0,0,4.196420542000851,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,original,Bathroom_2,0.3656614104487188,-0.3642648022623469,0,0,0,0,0,8,8,28,space,1.1168728740012739,103.06353029100137,None,2,30,right,male,0.3656614104487188,-0.3642648022623469,1,0.35777777777777775,-0.3566666666666667,1,0,0,3.6713088339965907,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,None,None,None,None,0,0,0,0,0,9,9,37,space,0.9473851660004584,108.28005595799914,None,2,30,right,male,None,None,1,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,mirrored,Bathroom_6,0.5380791815848759,-0.3119818890817943,0,0,0,0,0,10,10,9,space,4.473282291000942,109.6410125409966,None,2,30,right,male,0.5380791815848759,-0.3119818890817943,0,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,new,Office_8,-0.5001710542340352,-0.3749098143621699,0,0,0,0,0,11,11,15,space,0.9263040410005488,129.16391495800053,None,2,30,right,male,-0.5001710542340352,-0.3749098143621699,1,-0.5033333333333333,-0.37,1,0,0,5.57237191600143,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,original,Bedroom_5,0.6120571577404286,0.21869780057042887,0,0,0,0,0,12,12,24,space,1.220879665997927,136.0976039160014,None,2,30,right,male,0.6120571577404286,0.21869780057042887,0,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,new,Office_9,0.447446861385833,-0.17240259060017005,0,0,0,0,0,13,13,17,space,1.0121507489966461,152.3651078749972,None,2,30,right,male,0.447446861385833,-0.17240259060017005,1,0.4444444444444444,-0.1711111111111111,1,0,0,8.52372679200198,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,None,None,None,None,0,0,0,0,0,14,14,38,space,1.2790350830036914,162.34832029099925,None,2,30,right,male,None,None,1,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,original,Kitchen_6,0.5063406658978314,-0.3605115625264501,0,0,0,0,0,15,15,27,space,0.9919733319984516,164.06125962499937,None,2,30,right,male,0.5063406658978314,-0.3605115625264501,1,0.5,-0.35444444444444445,1,0,0,2.9321058749992517,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,None,None,None,None,0,0,0,0,0,16,16,36,space,1.2481751250015805,168.4320398330019,None,2,30,right,male,None,None,1,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,new,Bedroom_1,0.17712282744047048,-0.0643515560636832,0,0,0,0,0,17,17,19,space,1.868838873997447,170.10761050000292,None,2,30,right,male,0.17712282744047048,-0.0643515560636832,1,0.17777777777777778,-0.06222222222222222,1,0,0,5.957246750003833,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,None,None,None,None,0,0,0,0,0,18,18,39,space,1.4635258330017678,178.36415495799884,None,2,30,right,male,None,None,1,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,original,Kitchen_8,-0.5983202333638026,0.34827453306268374,0,0,0,0,0,19,19,23,space,1.1725467080032104,180.25425150000228,None,2,30,right,male,-0.5983202333638026,0.34827453306268374,1,-0.5944444444444444,0.3522222222222222,1,0,0,7.931322500000533,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,mirrored,Office_1,0.19335856309052968,0.02148845863843174,0,0,0,0,0,20,20,4,space,0.7548700000043027,189.78287224999804,None,2,30,right,male,0.19335856309052968,0.02148845863843174,0,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,original,Kitchen_5,0.059371041287149984,-0.23290413077113362,0,0,0,0,0,21,21,29,space,1.2114320830005454,205.58244983299664,None,2,30,right,male,0.059371041287149984,-0.23290413077113362,0,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,new,Bedroom_4,-0.6841739686880649,-0.37899633463348387,0,0,0,0,0,22,22,14,space,1.2432414990034886,221.83354508299817,None,2,30,right,male,-0.6841739686880649,-0.37899633463348387,1,-0.6877777777777778,-0.38333333333333336,1,0,0,2.9584202080004616,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,new,Bathroom_10,-0.5267634920810969,-0.05905093810178419,0,0,0,0,0,23,23,10,space,1.1550065410046955,226.48252695799601,None,2,30,right,male,-0.5267634920810969,-0.05905093810178419,1,-0.53,-0.06222222222222222,1,0,0,2.075468749993888,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,None,None,None,None,0,0,0,0,0,24,24,31,space,0.8653786240029149,230.1501251660011,None,2,30,right,male,None,None,1,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,None,None,None,None,0,0,0,0,0,25,25,30,space,3.25762041600683,231.43188066600123,None,2,30,right,male,None,None,1,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,new,Kitchen_1,-0.5094734240339168,-0.051953488767059186,0,0,0,0,0,26,26,16,space,2.063876625004923,235.10863774999598,None,2,30,right,male,-0.5094734240339168,-0.051953488767059186,1,-0.5155555555555555,-0.04555555555555556,1,0,0,3.346236041004886,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,mirrored,Bathroom_7,-0.5118854702172839,0.04571702855657883,0,0,0,0,0,27,27,1,space,0.8520055820044945,240.9333974580004,None,2,30,right,male,-0.5118854702172839,0.04571702855657883,0,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,mirrored,Bathroom_8,-0.09819821974686993,0.10899881608394835,0,0,0,0,0,28,28,0,space,1.0630802489977214,256.8336468330017,None,2,30,right,male,-0.09819821974686993,0.10899881608394835,1,-0.09777777777777778,0.10111111111111111,1,0,0,3.4014819169969996,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,None,None,None,None,0,0,0,0,0,29,29,32,space,1.1505648319944157,261.73401612499583,None,2,30,right,male,None,None,1,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,None,None,None,None,0,0,0,0,0,30,30,33,space,2.455711374997918,263.3349240410025,None,2,30,right,male,None,None,1,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,new,Office_5,-0.4543728911310967,-0.09458913112075207,0,0,0,0,0,31,31,11,space,1.1337118320006994,266.2209550830012,None,2,30,right,male,-0.4543728911310967,-0.09458913112075207,0,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,None,None,None,None,0,0,0,0,0,32,32,35,space,0.9444745829969179,282.40116158300225,None,2,30,right,male,None,None,0,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,mirrored,Office_2,-0.11627395646333794,0.3554980281510253,0,0,0,0,0,33,33,2,space,2.6965443750013947,283.79381445799663,None,2,30,right,male,-0.11627395646333794,0.3554980281510253,1,-0.11777777777777777,0.35,1,0,0,9.417146332998527,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,mirrored,Office_10,0.11608733163229268,-0.13250240621851533,0,0,0,0,0,34,34,6,space,0.859575082999072,296.33483924999746,None,2,30,right,male,0.11608733163229268,-0.13250240621851533,1,0.10888888888888888,-0.12333333333333334,1,0,0,5.876247291002073,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,mirrored,Office_3,-0.4255253843575417,-0.2279017217959881,0,0,0,0,0,35,35,5,space,1.0065277489993605,303.5016257910029,None,2,30,right,male,-0.4255253843575417,-0.2279017217959881,1,-0.43333333333333335,-0.22111111111111112,1,0,0,2.743998541998735,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,original,Bedroom_8,-0.5567825477527952,0.0603788733137377,0,0,0,0,0,36,36,22,space,0.9433370409969939,307.70170741599577,None,2,30,right,male,-0.5567825477527952,0.0603788733137377,1,-0.5622222222222222,0.07,1,0,0,3.8203578340035165,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,new,Bedroom_3,-0.058792666346976774,-0.10652097080758433,0,0,0,0,0,37,37,13,space,0.8515494579987717,312.885197333002,None,2,30,right,male,-0.058792666346976774,-0.10652097080758433,0,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,mirrored,Bathroom_9,0.08135314380040748,-0.1548458723919809,0,0,0,0,0,38,38,7,space,1.206279166006425,328.78562216599676,None,2,30,right,male,0.08135314380040748,-0.1548458723919809,1,0.08,-0.15444444444444444,1,0,0,1.8039420420027454,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,None,None,None,None,0,0,0,0,0,39,39,34,space,0.974449082998035,332.2525332910009,None,2,30,right,male,None,None,1,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
1,,,,,0,0,0,0,,,,,,,,,,30,right,male,,,,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,mirrored,Office_10,0.11608733163229268,-0.13250240621851533,0,1,1,1,0,0,0,6,space,1.8489334990008501,336.2678269579992,None,2,30,right,male,-0.11608733163229268,-0.13250240621851533,1,-0.10777777777777778,-0.12444444444444444,1,0,0,1.4550792910013115,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,new,Kitchen_3,0.28402402870038806,0.24512777594277485,0,1,1,1,0,1,1,15,space,1.6018549989967141,339.98481745799654,None,2,30,right,male,0.28402402870038806,0.24512777594277485,1,0.28444444444444444,0.25222222222222224,1,0,0,6.338007374994049,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,new,Office_6,-0.45027815947881883,0.16813700211432978,0,1,1,1,0,2,2,11,space,0.9008786659978796,348.352650832996,None,2,30,right,male,-0.45027815947881883,0.16813700211432978,1,-0.4533333333333333,0.17333333333333334,1,0,0,6.18861279200064,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,mirrored,Bathroom_8,-0.09819821974686993,0.10899881608394835,0,1,1,1,0,3,3,0,space,0.966552331999992,355.90295687499747,None,2,30,right,male,0.09819821974686993,0.10899881608394835,1,0.09888888888888889,0.10888888888888888,1,0,0,3.5989869170007296,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,original,Office_7,-0.5290202343245594,0.3679560584483372,0,1,1,1,0,4,4,21,space,1.041277333002654,360.91923900000256,None,2,30,right,male,-0.5290202343245594,0.3679560584483372,1,-0.5355555555555556,0.37222222222222223,1,0,0,3.0279679160012165,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,original,Kitchen_6,0.5063406658978314,-0.3605115625264501,0,1,1,1,0,5,5,27,space,0.9061587080068421,365.4353639580004,None,2,30,right,male,0.5063406658978314,-0.3605115625264501,1,0.5011111111111111,-0.36333333333333334,1,0,0,4.812726625001233,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,mirrored,Bathroom_7,-0.5118854702172839,0.04571702855657883,0,1,1,1,0,6,6,1,space,0.9128064989999984,371.60371837500134,None,2,30,right,male,0.5118854702172839,0.04571702855657883,0,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,mirrored,Office_2,-0.11627395646333794,0.3554980281510253,0,1,1,1,0,7,7,2,space,1.0662763319996884,387.55400141599966,None,2,30,right,male,0.11627395646333794,0.3554980281510253,1,0.11444444444444445,0.3488888888888889,1,0,0,6.364171167006134,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,original,Bathroom_2,0.3656614104487188,-0.3642648022623469,0,1,1,1,0,8,8,28,space,0.8317354989994783,395.41953870799625,None,2,30,right,male,0.3656614104487188,-0.3642648022623469,1,0.36333333333333334,-0.3622222222222222,1,0,0,4.192246167003759,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,mirrored,Office_1,0.19335856309052968,0.02148845863843174,0,1,1,1,0,9,9,4,space,0.7173689160044887,400.8536609579969,None,2,30,right,male,-0.19335856309052968,0.02148845863843174,0,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,new,Kitchen_10,0.3702508547452177,0.18807015484864487,0,1,1,1,0,10,10,18,space,1.007032125002297,416.6210868749986,None,2,30,right,male,0.3702508547452177,0.18807015484864487,0,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,mirrored,Bathroom_9,0.08135314380040748,-0.1548458723919809,0,1,1,1,0,11,11,7,space,0.9891387079987908,432.67175116600265,None,2,30,right,male,-0.08135314380040748,-0.1548458723919809,1,-0.07666666666666666,-0.13444444444444445,1,0,0,2.6110859170003096,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,original,Bedroom_5,0.6120571577404286,0.21869780057042887,0,1,1,1,0,12,12,24,space,0.870114833000116,438.43767141600256,None,2,30,right,male,0.6120571577404286,0.21869780057042887,0,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,new,Kitchen_7,0.2033016219357205,0.17827770130147275,0,1,1,1,0,13,13,17,space,0.8582275410008151,454.35419191599794,None,2,30,right,male,0.2033016219357205,0.17827770130147275,0,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,original,Bedroom_10,-0.19595916913992273,0.015254393557601609,0,1,1,1,0,14,14,20,space,1.042411832997459,470.2547662500001,None,2,30,right,male,-0.19595916913992273,0.015254393557601609,1,-0.19333333333333333,0.011111111111111112,1,0,0,1.643398125001113,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,original,Kitchen_5,0.059371041287149984,-0.23290413077113362,0,1,1,1,0,15,15,29,space,0.9006330410047667,473.40519704100006,None,2,30,right,male,0.059371041287149984,-0.23290413077113362,0,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,original,Kitchen_2,-0.35779162698232614,-0.25299261780930415,0,1,1,1,0,16,16,26,space,0.8904896239982918,489.3552709159994,None,2,30,right,male,-0.35779162698232614,-0.25299261780930415,0,,,,,,,,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,mirrored,Bathroom_6,0.5380791815848759,-0.3119818890817943,0,1,1,1,0,17,17,9,space,2.673467166001501,505.2880890000015,None,2,30,right,male,-0.5380791815848759,-0.3119818890817943,1,-0.5366666666666666,-0.3111111111111111,1,0,0,4.987493375003396,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,mirrored,Office_3,-0.4255253843575417,-0.2279017217959881,0,1,1,1,0,18,18,5,space,3.8250984580008662,513.4063334579987,None,2,30,right,male,0.4255253843575417,-0.2279017217959881,1,0.4255555555555556,-0.22444444444444445,1,0,0,4.389975792000769,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,original,Kitchen_8,-0.5983202333638026,0.34827453306268374,0,1,1,1,0,19,19,23,space,1.5499754569973447,522.0561937500024,None,2,30,right,male,-0.5983202333638026,0.34827453306268374,1,-0.6011111111111112,0.36,1,0,0,3.1758281660004286,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,original,Bedroom_9,0.27082633802435085,0.31115801474273225,0,1,1,1,0,20,20,25,space,0.8239416659998824,527.2233864579975,None,2,30,right,male,0.27082633802435085,0.31115801474273225,1,0.2644444444444444,0.31666666666666665,1,0,0,2.5274896249975427,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
2,mirrored,Bathroom_3,0.6902131574918087,-0.016148810751422604,0,1,1,1,0,21,21,8,space,0.8745945829941775,531.0067018749978,None,2,30,right,male,-0.6902131574918087,-0.016148810751422604,1,-0.69,-0.021111111111111112,1,0,0,2.2832661669963272,stimulus,2,30,right,male,2022_Sep_20_1215,exp_builder_script,2021.2.3,59.66774018720846,
